recipe_id,source,title,raw_ingredients,target_band,target_score,expected_swaps,swap_quality,notes,other_alternatives
chicken-stroganoff,https://www.thechunkychef.com/hearty-one-pot-chicken-stroganoff/,Chicken Stroganoff,"2 1/2 cups reduced sodium chicken stock (divided); 1 Tbsp all purpose flour; 3 Tbsp olive oil (divided); 1 lb. chicken breasts, cut into approximately 1 inch pieces; 1 tsp kosher salt (divided); 3/4 tsp black pepper, (divided); 12 oz cremini mushrooms, sliced; 1/2 yellow onion, finely chopped; 1/2 tsp paprika; 1/4 tsp dried thyme; 1/4 tsp dried oregano; 1/8 tsp red pepper flakes; 3-4 cloves garlic, minced; 1/2 cup dry white wine (I used a chardonnay); 6 oz uncooked extra wide egg noodles; 3 - 4 Tbsp sour cream (more can be used if you want); 1 tsp whole-grain or dijon mustard; chopped fresh parsley, (for garnish); extra black pepper, for garnish",Mostly Clean,74,"egg noodles>egg-white noodles, veggie noodles, or legume noodles; sour cream>greek yogurt",,"Restrained for a stroganoff - reduced-sodium stock, only 3-4 tbsp dairy. Noodle swap now names real alternatives: egg-WHITE noodles (mostly egg, high protein) or legume/veggie noodles - not the refined wheat egg noodles the dish starts with (that circular listing is fixed).","all-purpose flour (1 tbsp)>trivial thickener>arrowroot; dry white wine>cooks off, flavor only>none needed"
instant-pot-coconut-tandoori-inspired-ch,https://pinchofyum.com/instant-pot-coconut-tandoori-chicken,Instant Pot Coconut Tandoori-Inspired Chicken,"2 pounds boneless skinless chicken thighs; 2 tablespoons honey; 2 tablespoons garam masala; 1 tablespoon chili powder; 1 tablespoon garlic powder; 1 tablespoon cumin; 2 teaspoons salt; 2 teaspoons turmeric; 1/2 teaspoon ground ginger; 1/2 teaspoon cayenne pepper; 14-ounce can coconut milk; 2 cups rice, uncooked",Mostly Clean,73,white rice (2 cups)>brown rice; canned coconut milk>coconut milk that's just coconut + water (no gums/stabilizers),,Chicken thighs + a real spice cabinet. Honey rule applied - target 72->73; white rice is the main drag. Coconut milk elevated from a note to a real sourcing swap per your point that picking the right can matters (read the label for gums/stabilizers).,"honey (2 tbsp)>modest, and an acceptable unrefined sweetener>none needed"
broccoli-cheddar-soup,https://www.loveandlemons.com/broccoli-cheddar-soup/,Broccoli Cheddar Soup,"4 tablespoons unsalted butter; 1 medium yellow onion, chopped; ½ teaspoon sea salt; Freshly ground black pepper; 3 garlic cloves, chopped; ¼ cup all-purpose flour; 2 cups whole milk or unsweetened almond milk; 2 cups vegetable broth; 3 cups chopped broccoli florets; 1 large carrot, julienned or finely chopped; ½ teaspoon Dijon mustard; 8 ounces shredded cheddar cheese, about 2 heaping cups; Homemade croutons, for serving, optional",Mostly Clean,66,"shredded cheddar (8 oz)>block sharp cheddar, grated fresh; all-purpose flour roux>blended potato or white beans to thicken; vegetable broth>low-sodium vegetable broth; croutons>homemade croutons from real bread",,"Vegetable soup by name, cheese sauce by construction - the cheese is handled as sourcing, not villainized. Target 64->66. Your two QA catches fixed: vegetable broth is now flagged (it's the sodium the low-sodium swap targets), and butter is addressed - most is the roux the potato/bean swap removes, the remainder is aromatics (olive oil).","butter (4 tbsp)>most of it is the roux, which the potato/bean thickener removes, the rest sautes the aromatics>olive oil for the aromatics"
hot-spinach-artichoke-dip,https://www.seriouseats.com/hot-spinach-artichoke-dip-recipe-8645230,Hot Spinach-Artichoke Dip,"Cooking spray; 1/2 cup (120ml) mayonnaise; 1/2 cup (120ml) sour cream; 1 tablespoon Dijon mustard; 1 tablespoon white miso, optional; 2 teaspoons grated lemon zest (from 1 lemon); 1 medium clove garlic (5g), minced; 8 ounces (226g) plain, full-fat cream cheese, cut into 8 pieces and softened; 15 ounces (425g) frozen cut-leaf spinach, thawed and squeezed dry (about 1 1/4 cups); One 14-ounce (397g) can quartered artichoke hearts, rinsed, drained, patted dry, and coarsely chopped (about 1 1/2 cups); 12 ounces (340g) Monterey Jack cheese or mild white cheddar cheese, shredded (about 3 cups), divided; 4 ounces (115g) Parmigiano-Reggiano cheese, grated (about 2 heaping cups), divided; Crackers, pita chips, or crudités, for serving",Processed,54,"mayonnaise>homemade mayo or greek yogurt; cream cheese>blended cottage cheese; shredded Monterey Jack (12 oz)>block jack, grated fresh; crackers / pita chips>crudites; cooking spray>olive oil brush",,Real spinach and artichokes carrying a lot of combined dairy fat and mayo. Cheese treated as sourcing; the mayo + cream base is the true drag. Target 52->54. Cooking spray promoted from a note to a real swap (olive oil brush) per your call.,
chicken-gyro-bowls,https://sailorbailey.com/blog/chicken-gyro-bowls/,Chicken Gyro Bowls,"1 lb chicken breasts, cubed; 3 Tbsp lemon juice; 1 Tbsp olive oil; 1 tsp paprika; 1 tsp dried oregano; ½ tsp dried basil; ½ tsp cumin; ½ tsp salt; ½ tsp pepper; ½ cup plain greek yogurt (or sour cream); 1 Tbsp fresh lemon juice; ½ tsp salt; 1 tsp garlic; ¼ cup cucumber, chopped; 2 Tbsp fresh dill; 1 Tbsp fresh cilantro; 3 Tbsp feta (optional! ); ¼ cup tomatoes, chopped; ¼ cup cucumber, diced; ½ cup cooked quinoa; ¼ cup kalamata olives; shredded romaine lettuce; 3 Tbsp red onions, diced; feta, crumbled",Clean,90,,5,"Whole-food bowl: lean chicken, veg, quinoa, yogurt sauce. Feta + olives add sodium but only in garnish amounts. No swaps needed.",
sweet-potato-beef-cottage-cheese-bowl,https://www.eatingbirdfood.com/viral-beef-cottage-cheese-bowl/,Sweet Potato Beef Cottage Cheese Bowl,2 medium/large sweet potato (cubed); 2 teaspoon olive or avocado oil; ½ teaspoon sea salt; ½ teaspoon garlic powder; ⅛ teaspoon black pepper; 1 pound lean ground beef (I like 90/10); 2-3 Tablespoons taco seasoning (adjust to taste); 2 Tablespoons water (if needed); 1 cup cottage cheese (I like good culture); 1 avocado (chopped); 4 teaspoons hot honey; hot sauce; pickled onions and/or hot and sweet jalapeños,Mostly Clean,78,taco seasoning>homemade chili-cumin-garlic blend; hot honey>plain honey + fresh jalapeno; hot sauce>fresh jalapeno or homemade salsa,4,"Whole-food base (sweet potato, lean beef, avocado, cottage cheese); the packet seasoning and flavored/bottled heat products are the only processed knobs. Borderline with Clean. All three swaps are less-processed rebuilds from whole components.


--- Amber's v1 feedback ---
hot sauce swap is not represented.
honey is a decent sweetener so the swap could be fresh honey instead of hot honey and jalepeno instead of hot sauce

--- Original v1 draft (superseded) ---
target: 78 Mostly Clean | expected swaps: taco seasoning>homemade chili-cumin-garlic blend; hot honey>fresh jalapeno + lime | your v1 swap grade: 4
v1 notes: Whole-food base (sweet potato, lean beef, avocado, cottage cheese); packet seasoning and hot honey are the only processed knobs. Borderline with Clean.",
crock-pot-chicken-al-pastor-tacos,https://www.eatyourselfskinny.com/crock-pot-chicken-al-pastor-tacos/,Crock Pot Chicken Al Pastor Tacos,"2 lbs boneless, skinless chicken breasts; 1 cup pineapple chunks, plus 1/2 cup pineapple juice; 3 chipotle peppers in adobo sauce; 2 Tbsp adobo sauce; 3 cloves garlic; 1 Tbsp apple cider vinegar; 2 Tbsp tomato paste; 1 Tbsp honey; 2 tsp chili powder; 1 tsp smoked paprika; 1 tsp cumin; 1 tsp dried oregano; 1 tsp salt; 1/2 tsp black pepper; 12 small flour tortillas (street taco size); Finely diced pineapple; Finely diced white onion; Small diced avocado; Fresh cilantro (finely chopped); Lime wedges; Crumbled cotija cheese",Mostly Clean,72,flour tortillas>corn tortillas; honey>omit - pineapple is sweet enough,5,"Filling is clean (chicken, pineapple, spices); 12 refined flour tortillas are the main drag. Corn-tortilla swap moves it up a notch.",
one-pot-lemon-rosemary-chicken,https://www.eatyourselfskinny.com/lemon-rosemary-chicken-and-a-winner/,One Pot Lemon-Rosemary Chicken,"4 skinless, boneless chicken breasts; 3/4 pound small red-skinned potatoes, halved; 2 sprigs fresh rosemary, plus 1 Tbsp leaves; 1 clove garlic, smashed; Pinch of red pepper flakes; Juice of 2 lemons (squeezed halves reserved); 1 Tbsp extra-virgin olive oil; 2 tsp. sea salt",Clean,94,,,"Textbook clean: eight whole ingredients, olive oil, fresh herbs. Only knob is the 2 tsp salt. Good top-of-scale anchor.",
raspberry-lemon-yogurt-bread,https://www.eatyourselfskinny.com/raspberry-lemon-yogurt-bread/,Raspberry Lemon Yogurt Bread,1 cup whole wheat pastry flour; 3/4 cup all-purpose flour; 1 tsp baking powder; 1/2 tsp baking soda; 1/2 tsp salt; 3/4 cup plain Greek yogurt; 2 eggs (room temperature); 1/4 cup butter (melted and cooled); 3/4 cup cane sugar; 1/4 cup fresh lemon juice + zest of 1 lemon; 2 tsp vanilla extract; 1 cup fresh raspberries; 1/2 cup powdered sugar; 1 Tbsp fresh lemon juice,Processed,56,cane sugar>honey (about 1/2 cup); all-purpose flour>white whole wheat flour; powdered sugar glaze>greek yogurt-lemon drizzle,4,"Homemade quick bread with real yogurt and berries, but ~1 cup total added sugar makes it a dessert; the sugar dimension dominates. Yes - cane sugar swaps cleanly to honey here. With the honey + drizzle swaps it climbs toward Mostly Clean.

Greek yogurt lemon drizzle doesnt have an explanation for how to make it or where it comes from","butter (1/4 cup)>structural in a quick bread>half butter / half applesauce, avocado oil"
ham-mushroom-spinach-frittata,https://www.bbcgoodfood.com/recipes/ham-mushroom-spinach-frittata,"Ham, mushroom & spinach frittata",1 tsp oil; 80g chestnut mushrooms sliced; 50g ham diced; 80g bag spinach; 4 medium eggs beaten; 1 tbsp grated cheddar,Mostly Clean,76,diced ham>roast chicken or extra mushrooms,5,Eggs + veg are clean; 50g nitrite-cured deli ham is the one flag. Composite sits right at the Clean cutoff - I'd nudge below it for the cured meat. Genuinely borderline.,
